Brand	Email	Quality	Tier	Geo	Source
Plaid Crafts	community@plaidonline.com	General	Tier 3 — General	No public residency restriction confirmed	https://plaidonline.com/news-releases
Wayfair	influencers@wayfair.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public residency restriction confirmed	https://influencers.wayfair.com/connect/
Benjamin Moore	pressrequests@benjaminmoore.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.benjaminmoore.com/en-ca/press/benjamin-moore-fifth-annual-contractor-appreciation-month
Fredesigner	support@fredesigner.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.fredesigner.com/pages/press
IKEA	press.us@ikea.com	Marketing/PR	Tier 2 — Marketing/PR	US press route; creator eligibility unclear	https://www.ikea.com/us/en/newsroom/
Ruggable	support@ruggable.co.uk	Customer Support	Restricted	UK-based creators only	https://ruggable.co.uk/
Wallpaperdirect	help@wallpaperdirect.com	Customer Support	Tier 4 — Support Routing	International creators indicated as accepted	https://blog.wallpaperdirect.com/fruit-wallpaper-design-the-new-still-life/
Article	collaborations@article.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public creator-residency restriction confirmed	https://www.article.com/c/contact-us
Burrow	support@burrow.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://burrow.com/collections/credenzas-media-storage
Crate & Barrel	mediainquiries@crateandbarrel.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.crateandbarrel.com/about-crate-and-barrel
HAY	hay@hay.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.hay.com/footer/contact
Joybird	press@joybird.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://joybird.com/press/
Muuto	press@muuto.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.muuto.com/content/contact2/
Sixpenny	hello@sixpenny.com	General	Tier 3 — General	No public residency restriction confirmed	https://sixpenny.com/pages/press
West Elm	customerservice@westelm.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.westelm.com/customer-service/email-us/?cm_re=GlobalLinks-_-Footer-_-ContactUs
Artemide	marketing@artemide.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.artemide.com/contacts-locator
Beni Rugs	bonjour@benirugs.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.benirugs.com/contact
Cold Picnic	info@coldpicnic.com	General	Tier 3 — General	No public residency restriction confirmed	https://coldpicnic.com/pages/press
Flor	publicrelations@flor.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.flor.com/contact-us.html
Flos	customer.service@flos.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://flos.com/en/wo/
Gantri	press@gantri.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.gantri.com/about
GUBI	trade@gubi.com	General	Tier 3 — General	No public residency restriction confirmed	https://gubi.com/en/int/company/contact/contact
Louis Poulsen	info@louispoulsen.dk	General	Tier 3 — General	No public residency restriction confirmed	https://www.louispoulsen.com/en/private
Morris & Co.	theteam@wmorrisandco.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.wmorrisandco.com/uk/
Photowall	customerservice@photowall.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.photowall.com/us/customer-service/contact-us
RugPadUSA	customerservice@rugpadusa.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.rugpadusa.com/
RugVista	info@rugvista.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.rugvista.com/
Sanderson Design Group	support@sanderson.design	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.sanderson.design/
Tempaper	atyourservice@tempaper.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://tempaper.com/pages/affiliate
Tom Dixon	marketing@tomdixon.net	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.tomdixon.net/customer-services/contact-us
Backdrop	hello@backdrophome.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.backdrophome.com/
Buster + Punch	press@busterandpunch.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://uk.busterandpunch.com/sv/pages/press
California Closets	customer-service@calclosets.com	Customer Support	Tier 4 — Support Routing	No public creator-residency restriction confirmed	https://www.californiaclosets.com/
Cambria	public.relations@cambriausa.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.cambriausa.com/news-events
Clé Tile	press@cletile.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.cletile.com/pages/press
COAT Paints	partnerships@coatpaints.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public residency restriction confirmed	https://coatpaints.com/pages/press
Dulux	duluxcustomerservices@akzonobel.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.dulux.co.uk/en/contact-us
Duravit	marketing@us.duravit.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.duravit.com/en-us/company/about-us/contact/
Edward Bulmer Natural Paint	info@edwardbulmerpaint.co.uk	General	Tier 3 — General	No public residency restriction confirmed	https://www.edwardbulmerpaint.co.uk/contact-us/
Elfa	info@elfa.com	General	Tier 3 — General	No public residency restriction confirmed	https://elfa.com/sv-se/about-us/adresses-to-sites
Farrow & Ball	sales@farrow-ball.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.farrow-ball.com/
Fireclay Tile	hello@fireclaytile.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.fireclaytile.com/pages/press
Kohler	prospectivepartner@kohler.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public residency restriction confirmed	https://www.kohler.com/en/for-professionals/how-to-become-a-kohler-partner
Lick	pressoffice@lick.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.lick.com/uk/help/contact
Mandarin Stone	info@mandarinstone.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.mandarinstone.com/our-company/
Open Spaces	acquisitions@patternbrands.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.patternbrands.com/
Porcelanosa	grupo@porcelanosa.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.porcelanosa.com/contacto/
Rohl	media@houseofrohl.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://houseofrohl.com/press-room/media-inquiries/
Sherwin-Williams	corporatemedia@sherwin.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://corporate.sherwin-williams.com/us/en/media-center/press-releases.html
The Home Edit	press@thehomeedit.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://thehomeedit.com/pages/press
TileBar	info@tilebar.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.tilebar.com/press-media?header
TOTO	lcampos@toto.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.totousa.com/about-toto/press
Valspar	valspar@clynch.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.valspar.com/en/about-valspar/newsroom
Yamazaki Home	hello@theyamazakihome.com	General	Tier 3 — General	No public residency restriction confirmed	https://theyamazakihome.com/pages/press
Brooklinen	press@brooklinen.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.brooklinen.com/pages/press
Coyuchi	press@coyuchi.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.coyuchi.com/pages/press
Etsy	creatorco@etsy.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public residency restriction confirmed	https://www.etsy.com/be/affiliates
Govee	support@govee.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://us.govee.com/blogs/news/govee-teams-up-with-tim-howard
Homestyler	affiliate-program@homestyler.com	General	Tier 3 — General	No public residency restriction confirmed	https://ru.homestyler.com/contact
Houzz	press@houzz.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.houzz.com/inTheNews
Lamps Plus	pr@lampsplus.com	Marketing/PR	Restricted	US-only or US-residency restriction	https://www.lampsplus.com/ideas-and-advice/press/lamps-plus-named-one-of-the-25-best-lighting-stores-to-brighten-up-your-home-by-architectural-digest/
Lowe's	publicrelations@lowes.com	Marketing/PR	Tier 2 — Marketing/PR	US corporate route; creator eligibility unclear	https://corporate.lowes.com/newsroom/contact-media-relations
Maison Flaneur	hello@maisonflaneur.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.maisonflaneur.com/pages/press
Milanote	info@milanote.com	General	Tier 3 — General	No public residency restriction confirmed	https://milanote.com/inspiration/content-creator
Novica	marketing@novica.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.novica.com/customerservice/
Philips Hue	partners.philipshue@signify.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public residency restriction confirmed	https://www.philips-hue.com/en-us/explore-hue/affiliate-programme
Planner 5D	pr@planner5d.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://planner5d.com/fr/pages/press
Quince	community@onequince.com	Creator/Partnership	Tier 1 — Creator/Partnership	No public residency restriction confirmed	https://www.quince.com/fr-ca/contact-us
RoomSketcher	support@roomsketcher.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.roomsketcher.com/newsletter/
SmartWings	support@smartwingshome.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.smartwingshome.com/pages/affiliate-program
St. Frank	social@havenly.com	Marketing/PR	Tier 2 — Marketing/PR	No public residency restriction confirmed	https://www.stfrank.com/pages/contact-us
The Shade Store	design@theshadestore.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.theshadestore.com/about-us/in-the-press
The White Company	customerservice@thewhitecompany.com	Customer Support	Tier 4 — Support Routing	No public residency restriction confirmed	https://www.thewhitecompany.com/uk/help/contact-us
Umbra	affiliates@umbra.com	General	Tier 3 — General	No public residency restriction confirmed	https://www.umbra.com/pages/affiliate-program
